,word,frequency
5152,slur,6
6236,witch,6
727,boss,6
5155,smack,6
4594,religious,6
2856,immediately,6
5073,singe,6
839,butter,6
878,cancer,6
3968,park,6
256,alive,6
4651,resign,6
2561,green,6
4303,process,6
863,camera,6
2335,foreign,6
3925,pack,6
1486,dark,6
5804,troll,6
846,ca,6
501,bake,6
4333,promote,6
838,butt,6
5751,town,6
291,amount,6
2130,extremist,6
4338,propaganda,6
2833,ideology,6
4980,shameless,6
2524,goon,6
1541,definition,6
5011,shitty,6
3838,oil,6
4625,reporter,6
2848,illness,6
2497,glass,6
2879,important,6
1563,delude,6
3016,international,6
3036,invite,6
5157,smart,6
32,23,6
3344,lunch,6
5570,tax,6
571,bed,6
574,beef,6
5572,tea,6
1158,commit,6
5345,station,6
6304,youth,6
1785,domestic,6
429,attach,6
3166,large,6
5595,ten,6
3420,mark,6
1770,dna,6
453,authority,6
560,bean,6
4446,rage,6
5517,swing,6
3258,likely,6
5493,suspend,6
3271,lip,6
1866,duty,6
1900,educate,6
6307,yrs,6
5409,struggle,6
555,battle,6
3298,lock,6
5530,syrian,6
535,barrier,6
3214,legend,6
541,bash,6
5532,system,6
5597,tennis,6
3435,mass,6
5159,smash,6
694,board,6
674,blessing,6
4420,quick,6
3064,jail,6
3061,item,6
683,blood,6
5216,someday,6
695,boat,6
3583,mock,6
3622,moron,6
3042,iq,6
4906,secular,6
707,bone,6
708,bong,6
3019,interview,6
3587,modelling,6
3075,jewish,6
5306,spot,6
5292,spiritual,6
5305,sportsmanship,6
2399,fry,6
611,best,6
1962,empty,6
1167,communist,6
1745,disqualify,6
5273,spell,6
5652,threaten,6
394,art,6
3533,military,6
3548,minister,6
3555,mirror,6
663,bland,6
1689,director,6
4909,security,6
5090,size,6
990,cheap,6
1023,chocolate,6
4702,revolt,6
4145,pledge,6
4285,print,6
4787,rush,6
2247,fill,6
4052,personal,6
4041,period,6
1016,chinaman,6
4037,perform,6
1431,cult,6
4881,screw,6
4722,rigged,6
4740,road,6
4888,scum,6
223,agenda,6
4236,pray,6
4267,pressure,6
6133,wash,6
4237,prayer,6
6129,warn,6
217,afraid,6
2622,hang,6
4129,plastic,6
2305,flood,6
4277,price,6
6061,village,6
2729,hole,6
1313,corner,6
2734,holy,6
213,affect,6
5936,unlike,6
183,administration,6
2189,fascist,6
4033,perception,6
6039,veteran,6
1446,currently,6
2765,hospital,6
4179,pony,6
1340,courage,6
1344,cousin,6
1343,couscous,6
